prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,closed,prison_meta_info_source,,,,
Morton Hall IRC,Morton Hall (IRC),,,,,,,,,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/morton-hall,,,,
Mount,Mount,,,1,,,1,,1,,,,,1,1987,,http://www.justice.gov.uk/contacts/prison-finder/the-mount,,,,
New Hall,New Hall,,,,,,0,1,1,1,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/new-hall,,,,
North Sea Camp,North Sea Camp,,,,1,1,1,,1,,,,,1,1935,,http://www.justice.gov.uk/contacts/prison-finder/north-sea-camp,,,,
Northallerton,Northallerton,,,1,1,,1,,1,,,,,1,1788,,https://en.wikipedia.org/wiki/HM_Prison_Northallerton,,,,
Acklington / Castington,Northumberland,,,1,,,1,,1,,,,Sodexco,1,1972,,http://www.justice.gov.uk/contacts/prison-finder/northumberland,,,,
Northumberland,Northumberland,,,1,,,1,,1,,,,Sodexco,1,1972,,http://www.justice.gov.uk/contacts/prison-finder/northumberland,,,,
Norwich,Norwich,,1,1,,,1,1,1,,,,,1,1887,,https://en.wikipedia.org/wiki/HM_Prison_Norwich,,,,
Nottingham,Nottingham,,1,,,,1,,1,1,,,,1,1890,,https://www.justice.gov.uk/contacts/prison-finder/nottingham,,,,
Oakwood,Oakwood,,,1,,,1,,1,,,,G4S,1,2012,,http://www.justice.gov.uk/contacts/prison-finder/hmp-oakwood,,,,
Onley,Onley,,,1,,,1,,1,,,,,1,1968,,https://en.wikipedia.org/wiki/HM_Prison_Onley,,,,
Parc,Parc,,1,,,,1,1,1,,,,G4S,1,1997,,http://www.justice.gov.uk/contacts/prison-finder/parc,,,,
Pentonville,Pentonville,,1,1,,,1,,1,1,,,,1,1842,,https://www.justice.gov.uk/contacts/prison-finder/pentonville,,,,
Peterborough (Female),Peterborough (Female),,1,,,,0,1,1,1,,,Sodexco,1,2005,,http://www.justice.gov.uk/contacts/prison-finder/peterborough,,,,
Peterborough,Peterborough (Male & Female),,1,,,,2,1,1,1,,,Sodexco,1,2005,,http://www.justice.gov.uk/contacts/prison-finder/peterborough,,,,
Peterborough (Male & Female),Peterborough (Male & Female),,1,,,,2,1,1,1,,,Sodexco,1,2005,,http://www.justice.gov.uk/contacts/prison-finder/peterborough,,,,
Peterborough (Male),Peterborough (Male),,1,,,,1,,1,1,,,Sodexco,1,2005,,http://www.justice.gov.uk/contacts/prison-finder/peterborough,,,,
Portland,Portland,,,,,,1,1,1,,,,,1,1848,,http://www.justice.gov.uk/contacts/prison-finder/portland,,,,
Prescoed,Prescoed,,,,1,,1,1,1,,,1,,1,1939,,http://www.justice.gov.uk/contacts/prison-finder/usk-prescoed-prescoed,,,,
Preston,Preston,,1,,,,1,,1,1,,,,1,1895,,http://www.justice.gov.uk/contacts/prison-finder/preston,,,,
Ranby,Ranby,,,1,,,1,,1,,,,,1,1972,,http://www.justice.gov.uk/contacts/prison-finder/ranby,,,,
Reading,Reading,,,,,,1,1,,,,,,,1844,2013,https://en.wikipedia.org/wiki/HM_Prison_Reading,,,,
Risley,Risley,,,1,,,1,,1,,,,,1,1964,,http://www.justice.gov.uk/contacts/prison-finder/risley,,,,
Rochester,Rochester,,,1,,,1,1,1,,,,,1,1874,,http://www.justice.gov.uk/contacts/prison-finder/rochester,,,,
Rye Hill,Rye Hill,,1,,,,1,,1,,,,G4S,1,2011,,http://www.justice.gov.uk/contacts/prison-finder/rye-hill,,,,
Send,Send,,,,,,0,,,,,,,1,1962,,http://www.justice.gov.uk/contacts/prison-finder/send,,,,
Sheppey,Sheppey,,1,1,1,,1,,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Swaleside;https://en.wikipedia.org/wiki/HM_Prison_Elmley;https://en.wikipedia.org/wiki/HM_Prison_Standford_Hill,,,,
Shepton Mallet,Shepton Mallet,,,1,,,1,,1,,,,,1,1625,2013,https://en.wikipedia.org/wiki/HM_Prison_Shepton_Mallet,,,,
Shepton Mallet / Erlestoke,Shepton Mallet / Erlestoke,,,1,,,1,,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Shepton_Mallet,,,,
Shrewsbury,Shrewsbury,,1,1,,,1,,1,,,,,1,1973,,https://en.wikipedia.org/wiki/HM_Prison_Shrewsbury,,,,
Spring Hill,Spring Hill,,,,1,1,1,,1,,,,,1,1953,,https://www.justice.gov.uk/contacts/prison-finder/spring-hill,,,,
Stafford,Stafford,,,1,,,1,,1,,,1,,1,1794,,http://www.justice.gov.uk/contacts/prison-finder/stafford,,,,
Standford Hill,Standford Hill (Sheppey),,,,1,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-standford-hill,,,,
Standford Hill (Sheppey,Standford Hill (Sheppey),,,,1,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-standford-hill,,,,
Standford Hill (Sheppey),Standford Hill (Sheppey),,,,1,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-standford-hill,,,,
Stocken,Stocken,,,1,,,1,,1,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/stocken,,,,
Stoke Heath,Stoke Heath,,,1,1,,1,1,1,,,,,1,1964,,http://www.justice.gov.uk/contacts/prison-finder/stoke-heath,,,,
Styal,Styal,,,,,,0,1,1,,,,,1,1962,,http://www.justice.gov.uk/contacts/prison-finder/styal,,,,
Sub Total,Sub Total,,,,,,,,,,,,,1,,,,,,,
Sub total,Sub Total,,,,,,,,,,,,,1,,,,,,,
Sudbury,Sudbury,,,,1,,1,,1,,,,,1,1948,,https://www.justice.gov.uk/contacts/prison-finder/sudbury,,,,
Swaleside,Swaleside (Sheppey),,1,,,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-swaleside,,,,
Swaleside (Sheppey Cluster),Swaleside (Sheppey),,1,,,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-swaleside,,,,
Swaleside (Sheppey),Swaleside (Sheppey),,1,,,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/sheppey-cluster-swaleside,,,,
Swansea,Swansea,,1,,,,1,,1,,,,,1,1861,,http://www.justice.gov.uk/contacts/prison-finder/swansea,,,,
Swinfen Hall,Swinfen Hall,,,1,,,1,1,1,,,,,1,1963,,http://www.justice.gov.uk/contacts/prison-finder/swinfen-hall,,,,
Thameside,Thameside,,1,,,,1,,1,1,,,Serco,1,2012,,http://www.justice.gov.uk/contacts/prison-finder/thameside,,,,
Thorn Cross,Thorn Cross,,,,1,1,1,,1,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/thorn-cross,,,,
Total,Total,,,,,,,,,,,,,1,,,,,,,
Usk,Usk,,,1,,,1,,1,,,,,1,1844,,https://en.wikipedia.org/wiki/HM_Prison_Usk,,,,
Usk / Prescoed,Usk / Prescoed,,,,1,,1,1,1,,,1,,1,1939,,http://www.justice.gov.uk/contacts/prison-finder/usk-prescoed-prescoed,,,,
Usk/ Prescoed,Usk / Prescoed,,,,1,,1,1,1,,,1,,1,1939,,http://www.justice.gov.uk/contacts/prison-finder/usk-prescoed-prescoed,,,,
Verne,Verne (IRC),,,,,,,,,,,,,1,1949,,http://www.justice.gov.uk/contacts/prison-finder/verne,,,,
Verne (IRC),Verne (IRC),,,,,,,,,,,,,1,1949,,http://www.justice.gov.uk/contacts/prison-finder/verne,,,,
Wakefield,Wakefield,1,1,,,,1,,1,,,1,,1,1966,,http://www.justice.gov.uk/contacts/prison-finder/wakefield,,,,
Wandsworth,Wandsworth,,1,,,,1,,1,1,,,,1,1851,,http://www.justice.gov.uk/contacts/prison-finder/wandsworth,,,,
Warren Hill,Warren Hill,,,1,,,1,,1,,,,,1,1982,,http://www.justice.gov.uk/contacts/prison-finder/warren-hill,,,,
Wayland,Wayland,,,1,,,1,,1,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/wayland,,,,
Wealstun,Wealstun,,,1,,,1,,1,,,,,1,1965,,https://en.wikipedia.org/wiki/HM_Prison_Wealstun,,,,
Wellingborough,Wellingborough,,,1,,,1,,1,,,,,1,1963,2012,https://en.wikipedia.org/wiki/HM_Prison_Wellingborough,,,,
Werrington,Werrington,,,,,,1,1,,,,,,1,1955,,http://www.justice.gov.uk/contacts/prison-finder/werrington,,,,
Wetherby,Wetherby,,,,,,1,1,,,,,,1,1958,,http://www.justice.gov.uk/contacts/prison-finder/wetherby,,,,
Whatton,Whatton,,,1,,,1,,1,,,1,,1,1966,,http://www.justice.gov.uk/contacts/prison-finder/whatton,,,,
Whitemoor,Whitemoor,1,1,,,,1,,1,,,,,1,1992,,http://www.justice.gov.uk/contacts/prison-finder/whitemoor,,,,
Winchester,Winchester,,1,1,,,1,,1,1,,,,1,?,,https://www.justice.gov.uk/contacts/prison-finder/winchester,,,,
Wolds,Wolds,,,1,,,1,,1,,,,,1,1992,,https://en.wikipedia.org/wiki/HM_Prison_Wolds,,,,
Woodhill,Woodhill,1,,,,,1,,1,1,,,,1,1992,,http://www.justice.gov.uk/contacts/prison-finder/woodhill,,,,
Wormwood Scrubs,Wormwood Scrubs,,1,,,,1,,1,1,,,,1,1874,,http://www.justice.gov.uk/contacts/prison-finder/wormwood-scrubs,,,,
Wymott,Wymott,,,1,,,2,,1,,,1,,1,1979,,http://www.justice.gov.uk/contacts/prison-finder/wymott,,,,
