prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Wormwood Scrubs,1156,1156,1279,1271,1.1,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wymott,1099,1099,1169,1162,1.06,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Morton Hall (IRC),392,392,392,367,0.94,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Verne (IRC),570,570,580,432,0.76,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Altcourse,794,794,1133,1118,1.41,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Ashfield,408,408,400,392,0.96,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Askham Grange,150,126,128,94,0.75,0.84,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Aylesbury,410,410,444,390,0.95,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Bedford,322,322,506,488,1.52,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Belmarsh,781,781,930,861,1.1,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Birmingham,1093,1093,1450,1414,1.29,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Brinsford,545,423,455,374,0.88,0.78,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Bristol,425,407,614,596,1.46,0.96,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Brixton,530,530,810,809,1.53,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Bronzefield,527,527,527,505,0.96,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Buckley Hall,409,409,455,445,1.09,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Bullingdon,879,879,1114,1097,1.25,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Bure,611,611,651,638,1.04,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Cardiff,539,539,820,799,1.48,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Channings Wood,698,698,731,718,1.03,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Chelmsford,551,551,745,726,1.32,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Coldingley,507,507,519,505,1.0,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Cookham Wood,188,188,188,165,0.88,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Dartmoor,642,639,660,625,0.98,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Deerbolt,513,513,513,396,0.77,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Doncaster,738,738,1145,1090,1.48,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Dovegate,1064,1060,1133,1109,1.05,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Drake Hall,340,340,340,313,0.92,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Durham,591,591,995,927,1.57,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
East Sutton Park,98,98,100,89,0.91,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Eastwood Park,410,315,363,322,1.02,0.77,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Elmley (Sheppey),943,931,1130,1116,1.2,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Erlestoke,494,494,524,520,1.05,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Exeter,326,318,561,517,1.63,0.98,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Featherstone,671,671,687,672,1.0,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Feltham,762,650,650,557,0.86,0.85,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Ford,521,521,524,506,0.97,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Forest Bank,1064,1064,1460,1416,1.33,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Foston Hall,303,303,345,293,0.97,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Frankland,859,844,844,819,0.97,0.98,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Full Sutton,604,596,616,586,0.98,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Garth,811,738,773,758,1.03,0.91,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Gartree,708,708,719,706,1.0,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Glen Parva,637,589,728,538,0.91,0.92,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Grendon / Springhill,586,554,554,530,0.96,0.95,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Guys Marsh,518,518,579,551,1.06,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Hatfield,266,266,266,258,0.97,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Haverigg,622,622,644,631,1.01,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Hewell,1018,1018,1309,1278,1.26,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
High Down,999,999,1163,1153,1.15,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Highpoint (North and South),1311,1311,1343,1329,1.01,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Hindley,534,350,398,319,0.91,0.66,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Hollesley Bay,424,352,352,341,0.97,0.83,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Holloway,540,533,591,498,0.93,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Holme House,1036,1036,1210,1180,1.14,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Hull,723,723,1044,982,1.36,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Humber,948,924,1062,1033,1.12,0.97,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Huntercombe,370,307,430,429,1.4,0.83,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Isis,478,478,622,600,1.26,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Isle of Wight,1056,996,1079,1074,1.08,0.94,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Kennet,175,175,342,231,1.32,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Kirkham,657,657,657,595,0.91,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Kirklevington Grange,283,283,283,276,0.98,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Lancaster Farms,495,495,549,545,1.1,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Leeds,669,669,1212,1196,1.79,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Leicester,214,214,411,348,1.63,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Lewes,617,617,722,652,1.06,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Leyhill,527,527,527,468,0.89,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Lincoln,408,403,729,604,1.5,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Lindholme,1048,924,1010,985,1.07,0.88,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Littlehey,1154,1151,1217,1217,1.06,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Liverpool,1173,1101,1386,1205,1.09,0.94,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Long Lartin,625,625,625,623,1.0,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Low Newton,314,291,329,267,0.92,0.93,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Lowdham Grange,900,900,920,920,1.02,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Maidstone,565,565,600,595,1.05,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Manchester,965,965,1286,1119,1.16,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Moorland,943,943,1006,986,1.05,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Mount,1000,1000,1020,961,0.96,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
New Hall,395,371,425,387,1.04,0.94,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
North Sea Camp,420,420,420,323,0.77,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Northumberland,1348,1339,1339,1298,0.97,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Norwich,626,626,769,755,1.21,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Nottingham,723,723,1060,1053,1.46,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Oakwood,1605,1605,1605,1589,0.99,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Onley,742,742,747,733,0.99,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Parc,1322,1322,1626,1557,1.18,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Pentonville,915,915,1316,1300,1.42,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Peterborough (Male & Female),1132,1119,1252,1183,1.06,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Portland,464,464,531,502,1.08,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Preston,456,430,786,689,1.6,0.94,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Ranby,893,892,1098,1068,1.2,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Risley,1050,1050,1115,1091,1.04,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Rochester,802,738,750,731,0.99,0.92,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Rye Hill,600,600,625,619,1.03,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Send,282,282,282,280,0.99,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Stafford,741,741,741,739,1.0,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Standford Hill (Sheppey),464,464,464,458,0.99,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Stocken,768,768,843,827,1.08,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Stoke Heath,662,662,782,754,1.14,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Styal,479,470,485,462,0.98,0.98,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Sudbury,581,581,581,463,0.8,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Swaleside (Sheppey),1112,1112,1112,1097,0.99,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Swansea,250,242,455,420,1.74,0.97,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Swinfen Hall,604,544,594,561,1.03,0.9,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Thameside,600,600,900,877,1.46,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Thorn Cross,381,381,381,323,0.85,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Usk / Prescoed,378,378,503,489,1.29,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wakefield,751,730,730,727,1.0,0.97,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wandsworth,963,943,1658,1607,1.7,0.98,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Warren Hill,257,212,212,132,0.62,0.82,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wayland,957,924,1004,1000,1.08,0.97,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wealstun,810,801,824,824,1.03,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Werrington,160,160,160,112,0.7,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wetherby,396,336,336,287,0.85,0.85,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Whatton,775,769,841,833,1.08,0.99,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Whitemoor,473,458,458,447,0.98,0.97,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Winchester,469,469,690,669,1.43,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Woodhill,660,568,727,718,1.26,0.86,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wormwood Scrubs,1156,1156,1279,1249,1.08,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Wymott,1102,1102,1143,1122,1.02,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Dover (IRC),401,401,401,366,0.91,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Morton Hall (IRC),392,392,392,348,0.89,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Verne (IRC),570,570,580,534,0.94,1.0,2015-04-24,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/426306/prison-popualtion-april-2015.rtf
Altcourse,794,794,1033,1031,1.3,1.0,2015-10-30,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/476807/prison-population-october-2015.rtf
Ashfield,408,408,400,399,0.98,1.0,2015-10-30,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/476807/prison-population-october-2015.rtf
Askham Grange,150,126,128,102,0.81,0.84,2015-10-30,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/476807/prison-population-october-2015.rtf
