prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,month_text,month
Maidstone,565,565,600,598,1.06,1.0, July 2015,2015-07-11
Manchester,965,965,1286,1097,1.14,1.0, July 2015,2015-07-11
Moorland,943,943,1006,989,1.05,1.0, July 2015,2015-07-11
Mount,1000,1000,1020,1015,1.02,1.0, July 2015,2015-07-11
New Hall,392,371,425,370,1.0,0.95, July 2015,2015-07-11
North Sea Camp,420,420,420,313,0.75,1.0, July 2015,2015-07-11
Northumberland,1348,1348,1348,1323,0.98,1.0, July 2015,2015-07-11
Norwich,626,626,775,720,1.15,1.0, July 2015,2015-07-11
Nottingham,723,723,1060,1045,1.45,1.0, July 2015,2015-07-11
Oakwood,1605,1605,1605,1600,1.0,1.0, July 2015,2015-07-11
Onley,742,742,742,741,1.0,1.0, July 2015,2015-07-11
Parc,1557,1557,1723,1679,1.08,1.0, July 2015,2015-07-11
Pentonville,915,915,1310,1287,1.41,1.0, July 2015,2015-07-11
Peterborough (Male & Female),1132,1119,1252,1213,1.08,0.99, July 2015,2015-07-11
Portland,464,464,531,515,1.11,1.0, July 2015,2015-07-11
Preston,456,434,790,700,1.61,0.95, July 2015,2015-07-11
Ranby,893,892,1098,1080,1.21,1.0, July 2015,2015-07-11
Risley,1050,1050,1115,1103,1.05,1.0, July 2015,2015-07-11
Rochester,802,738,743,736,1.0,0.92, July 2015,2015-07-11
Rye Hill,600,600,625,618,1.03,1.0, July 2015,2015-07-11
Send,282,282,282,275,0.98,1.0, July 2015,2015-07-11
Stafford,741,741,751,749,1.01,1.0, July 2015,2015-07-11
Standford Hill (Sheppey),464,464,464,453,0.98,1.0, July 2015,2015-07-11
Stocken,768,648,713,693,1.07,0.84, July 2015,2015-07-11
Stoke Heath,662,662,782,771,1.16,1.0, July 2015,2015-07-11
Styal,479,470,485,480,1.02,0.98, July 2015,2015-07-11
Sudbury,600,600,600,443,0.74,1.0, July 2015,2015-07-11
Swaleside (Sheppey),1112,1112,1112,1108,1.0,1.0, July 2015,2015-07-11
Swansea,250,242,455,416,1.72,0.97, July 2015,2015-07-11
Swinfen Hall,604,544,594,573,1.05,0.9, July 2015,2015-07-11
Thameside,932,932,1232,1204,1.29,1.0, July 2015,2015-07-11
Thorn Cross,381,381,381,376,0.99,1.0, July 2015,2015-07-11
Usk / Prescoed,378,378,536,494,1.31,1.0, July 2015,2015-07-11
Wakefield,750,730,730,729,1.0,0.97, July 2015,2015-07-11
Wandsworth,963,943,1628,1552,1.65,0.98, July 2015,2015-07-11
Warren Hill,257,212,212,169,0.8,0.82, July 2015,2015-07-11
Wayland,958,936,1015,1010,1.08,0.98, July 2015,2015-07-11
Wealstun,810,810,833,809,1.0,1.0, July 2015,2015-07-11
Werrington,142,142,142,117,0.82,1.0, July 2015,2015-07-11
Wetherby,396,336,336,277,0.82,0.85, July 2015,2015-07-11
Whatton,775,769,841,834,1.08,0.99, July 2015,2015-07-11
Whitemoor,473,458,458,451,0.98,0.97, July 2015,2015-07-11
Winchester,469,469,690,682,1.45,1.0, July 2015,2015-07-11
Woodhill,660,568,727,700,1.23,0.86, July 2015,2015-07-11
Wormwood Scrubs,1156,1156,1279,1249,1.08,1.0, July 2015,2015-07-11
Wymott,1102,1102,1143,1164,1.06,1.0, July 2015,2015-07-11
Dover (IRC),401,401,401,365,0.91,1.0, July 2015,2015-07-11
Morton Hall (IRC),392,392,392,312,0.8,1.0, July 2015,2015-07-11
Verne (IRC),570,570,580,473,0.83,1.0, July 2015,2015-07-11
Altcourse,794,794,1033,1012,1.27,1.0, April 2016,2016-04-11
Ashfield,408,408,400,400,0.98,1.0, April 2016,2016-04-11
Askham Grange,150,126,128,117,0.93,0.84, April 2016,2016-04-11
Aylesbury,410,410,444,428,1.04,1.0, April 2016,2016-04-11
Bedford,322,322,506,478,1.48,1.0, April 2016,2016-04-11
Belmarsh,781,781,938,812,1.04,1.0, April 2016,2016-04-11
Birmingham,1093,1093,1450,1442,1.32,1.0, April 2016,2016-04-11
Brinsford,545,423,455,331,0.78,0.78, April 2016,2016-04-11
Bristol,425,407,614,552,1.36,0.96, April 2016,2016-04-11
Brixton,528,528,810,780,1.48,1.0, April 2016,2016-04-11
Bronzefield,527,527,572,544,1.03,1.0, April 2016,2016-04-11
Buckley Hall,409,409,455,451,1.1,1.0, April 2016,2016-04-11
Bullingdon,869,869,1114,1099,1.26,1.0, April 2016,2016-04-11
Bure,604,604,643,640,1.06,1.0, April 2016,2016-04-11
Cardiff,539,539,820,790,1.47,1.0, April 2016,2016-04-11
Channings Wood,698,698,724,709,1.02,1.0, April 2016,2016-04-11
Chelmsford,551,551,745,726,1.32,1.0, April 2016,2016-04-11
Coldingley,493,493,521,513,1.04,1.0, April 2016,2016-04-11
Cookham Wood,188,188,188,152,0.81,1.0, April 2016,2016-04-11
Dartmoor,642,640,640,630,0.98,1.0, April 2016,2016-04-11
Deerbolt,513,513,513,385,0.75,1.0, April 2016,2016-04-11
Doncaster,738,678,1045,1028,1.52,0.92, April 2016,2016-04-11
Dovegate,1064,1060,1133,1101,1.04,1.0, April 2016,2016-04-11
Drake Hall,340,340,340,338,0.99,1.0, April 2016,2016-04-11
Durham,595,595,996,898,1.51,1.0, April 2016,2016-04-11
East Sutton Park,100,100,100,97,0.97,1.0, April 2016,2016-04-11
Eastwood Park,393,356,404,348,0.98,0.91, April 2016,2016-04-11
Elmley (Sheppey),943,943,1102,1080,1.15,1.0, April 2016,2016-04-11
Erlestoke,494,494,524,519,1.05,1.0, April 2016,2016-04-11
Exeter,326,318,561,492,1.55,0.98, April 2016,2016-04-11
Featherstone,671,671,703,692,1.03,1.0, April 2016,2016-04-11
Feltham,768,555,555,496,0.89,0.72, April 2016,2016-04-11
Ford,521,506,524,506,1.0,0.97, April 2016,2016-04-11
Forest Bank,1064,1064,1460,1407,1.32,1.0, April 2016,2016-04-11
Foston Hall,303,303,345,338,1.12,1.0, April 2016,2016-04-11
Frankland,859,844,844,791,0.94,0.98, April 2016,2016-04-11
Full Sutton,606,606,626,576,0.95,1.0, April 2016,2016-04-11
Garth,810,810,845,829,1.02,1.0, April 2016,2016-04-11
Gartree,708,708,708,703,0.99,1.0, April 2016,2016-04-11
Glen Parva,637,519,648,503,0.97,0.81, April 2016,2016-04-11
Grendon / Springhill,586,568,568,535,0.94,0.97, April 2016,2016-04-11
Guys Marsh,518,518,579,573,1.11,1.0, April 2016,2016-04-11
Hatfield,390,338,338,314,0.93,0.87, April 2016,2016-04-11
Haverigg,622,622,654,632,1.02,1.0, April 2016,2016-04-11
Hewell,1018,1018,1279,1237,1.22,1.0, April 2016,2016-04-11
High Down,999,999,1203,1189,1.19,1.0, April 2016,2016-04-11
Highpoint (North and South),1299,1297,1323,1302,1.0,1.0, April 2016,2016-04-11
Hindley,532,492,540,514,1.04,0.92, April 2016,2016-04-11
Hollesley Bay,437,424,424,415,0.98,0.97, April 2016,2016-04-11
Holloway,293,286,300,185,0.65,0.98, April 2016,2016-04-11
Holme House,1036,1036,1230,1203,1.16,1.0, April 2016,2016-04-11
Hull,723,723,1056,1042,1.44,1.0, April 2016,2016-04-11
Humber,947,947,1062,1024,1.08,1.0, April 2016,2016-04-11
Huntercombe,370,367,436,426,1.16,0.99, April 2016,2016-04-11
Isis,478,478,628,612,1.28,1.0, April 2016,2016-04-11
Isle of Wight,1068,976,1096,1082,1.11,0.91, April 2016,2016-04-11
Kennet,175,175,342,327,1.87,1.0, April 2016,2016-04-11
Kirkham,657,657,657,569,0.87,1.0, April 2016,2016-04-11
Kirklevington Grange,283,283,283,254,0.9,1.0, April 2016,2016-04-11
Lancaster Farms,495,495,549,542,1.09,1.0, April 2016,2016-04-11
Leeds,669,669,1219,1143,1.71,1.0, April 2016,2016-04-11
Leicester,214,214,411,329,1.54,1.0, April 2016,2016-04-11
Lewes,617,617,692,633,1.03,1.0, April 2016,2016-04-11
Leyhill,515,515,515,513,1.0,1.0, April 2016,2016-04-11
Lincoln,408,403,729,631,1.57,0.99, April 2016,2016-04-11
Lindholme,924,916,994,992,1.08,0.99, April 2016,2016-04-11
Littlehey,1154,1153,1219,1210,1.05,1.0, April 2016,2016-04-11
Liverpool,1173,1101,1386,1118,1.02,0.94, April 2016,2016-04-11
Long Lartin,625,548,548,534,0.97,0.88, April 2016,2016-04-11
Low Newton,314,306,344,340,1.11,0.97, April 2016,2016-04-11
Lowdham Grange,900,900,920,914,1.02,1.0, April 2016,2016-04-11
Maidstone,565,565,600,594,1.05,1.0, April 2016,2016-04-11
Manchester,965,965,1286,1038,1.08,1.0, April 2016,2016-04-11
Moorland,943,943,1006,986,1.05,1.0, April 2016,2016-04-11
Mount,1008,1002,1016,1011,1.01,0.99, April 2016,2016-04-11
New Hall,392,371,425,398,1.07,0.95, April 2016,2016-04-11
North Sea Camp,420,420,420,337,0.8,1.0, April 2016,2016-04-11
Northumberland,1348,1348,1348,1334,0.99,1.0, April 2016,2016-04-11
Norwich,626,626,775,727,1.16,1.0, April 2016,2016-04-11
Nottingham,723,723,1060,1042,1.44,1.0, April 2016,2016-04-11
Oakwood,1605,1605,1605,1590,0.99,1.0, April 2016,2016-04-11
Onley,742,742,742,731,0.99,1.0, April 2016,2016-04-11
Parc,1557,1557,1723,1662,1.07,1.0, April 2016,2016-04-11
Pentonville,906,906,1316,1276,1.41,1.0, April 2016,2016-04-11
Peterborough (Male & Female),1132,1119,1300,1265,1.13,0.99, April 2016,2016-04-11
Portland,464,464,500,487,1.05,1.0, April 2016,2016-04-11
Preston,455,455,841,754,1.66,1.0, April 2016,2016-04-11
Ranby,893,832,1038,1038,1.25,0.93, April 2016,2016-04-11
Risley,1050,1050,1115,1085,1.03,1.0, April 2016,2016-04-11
Rochester,802,754,754,752,1.0,0.94, April 2016,2016-04-11
Rye Hill,600,600,625,620,1.03,1.0, April 2016,2016-04-11
Send,282,282,282,277,0.98,1.0, April 2016,2016-04-11
Stafford,741,741,751,747,1.01,1.0, April 2016,2016-04-11
Standford Hill (Sheppey),464,464,464,449,0.97,1.0, April 2016,2016-04-11
Stocken,768,648,713,708,1.09,0.84, April 2016,2016-04-11
Stoke Heath,662,662,782,756,1.14,1.0, April 2016,2016-04-11
Styal,479,470,485,467,0.99,0.98, April 2016,2016-04-11
Sudbury,581,581,581,494,0.85,1.0, April 2016,2016-04-11
Swaleside (Sheppey),1112,1112,1112,1105,0.99,1.0, April 2016,2016-04-11
Swansea,268,268,500,417,1.56,1.0, April 2016,2016-04-11
Swinfen Hall,604,604,624,598,0.99,1.0, April 2016,2016-04-11
Thameside,932,932,1232,1210,1.3,1.0, April 2016,2016-04-11
Thorn Cross,381,381,381,378,0.99,1.0, April 2016,2016-04-11
Usk / Prescoed,378,378,536,529,1.4,1.0, April 2016,2016-04-11
Wakefield,750,732,732,724,0.99,0.98, April 2016,2016-04-11
Wandsworth,963,943,1628,1596,1.69,0.98, April 2016,2016-04-11
Warren Hill,257,257,257,206,0.8,1.0, April 2016,2016-04-11
Wayland,958,894,972,967,1.08,0.93, April 2016,2016-04-11
Wealstun,810,809,830,824,1.02,1.0, April 2016,2016-04-11
Werrington,118,118,142,111,0.94,1.0, April 2016,2016-04-11
Wetherby,408,336,336,295,0.88,0.82, April 2016,2016-04-11
Whatton,775,769,841,837,1.09,0.99, April 2016,2016-04-11
Whitemoor,473,458,458,439,0.96,0.97, April 2016,2016-04-11
Winchester,469,469,690,676,1.44,1.0, April 2016,2016-04-11
Woodhill,660,568,727,691,1.22,0.86, April 2016,2016-04-11
Wormwood Scrubs,1156,1156,1279,1235,1.07,1.0, April 2016,2016-04-11
Wymott,1099,1099,1169,1156,1.05,1.0, April 2016,2016-04-11
Morton Hall (IRC),392,392,392,341,0.87,1.0, April 2016,2016-04-11
Verne (IRC),570,570,580,513,0.9,1.0, April 2016,2016-04-11
Altcourse,794,794,1033,1017,1.28,1.0, March 2016,2016-03-11
Ashfield,408,408,400,393,0.96,1.0, March 2016,2016-03-11
Askham Grange,150,126,128,94,0.75,0.84, March 2016,2016-03-11
Aylesbury,410,410,444,435,1.06,1.0, March 2016,2016-03-11
Bedford,322,322,506,489,1.52,1.0, March 2016,2016-03-11
Belmarsh,781,781,938,847,1.08,1.0, March 2016,2016-03-11
Birmingham,1093,1093,1450,1451,1.33,1.0, March 2016,2016-03-11
Brinsford,545,423,455,332,0.78,0.78, March 2016,2016-03-11
Bristol,425,407,614,547,1.34,0.96, March 2016,2016-03-11
Brixton,528,528,810,803,1.52,1.0, March 2016,2016-03-11
Bronzefield,527,527,572,554,1.05,1.0, March 2016,2016-03-11
Buckley Hall,409,409,455,451,1.1,1.0, March 2016,2016-03-11
Bullingdon,869,869,1114,1102,1.27,1.0, March 2016,2016-03-11
Bure,604,604,643,642,1.06,1.0, March 2016,2016-03-11
Cardiff,539,539,820,776,1.44,1.0, March 2016,2016-03-11
Channings Wood,698,698,724,707,1.01,1.0, March 2016,2016-03-11
Chelmsford,551,551,745,702,1.27,1.0, March 2016,2016-03-11
Coldingley,493,493,521,517,1.05,1.0, March 2016,2016-03-11
Cookham Wood,188,188,188,147,0.78,1.0, March 2016,2016-03-11
Dartmoor,642,640,640,634,0.99,1.0, March 2016,2016-03-11
Deerbolt,513,513,513,375,0.73,1.0, March 2016,2016-03-11
Doncaster,738,738,1045,1033,1.4,1.0, March 2016,2016-03-11
Dovegate,1064,1060,1133,1109,1.05,1.0, March 2016,2016-03-11
Drake Hall,340,340,340,309,0.91,1.0, March 2016,2016-03-11
Durham,595,595,996,924,1.55,1.0, March 2016,2016-03-11
East Sutton Park,100,100,100,100,1.0,1.0, March 2016,2016-03-11
Eastwood Park,410,315,363,352,1.12,0.77, March 2016,2016-03-11
Elmley (Sheppey),943,943,1102,1092,1.16,1.0, March 2016,2016-03-11
Erlestoke,494,494,524,520,1.05,1.0, March 2016,2016-03-11
Exeter,326,318,561,521,1.64,0.98, March 2016,2016-03-11
Featherstone,671,671,703,688,1.03,1.0, March 2016,2016-03-11
Feltham,768,560,560,503,0.9,0.73, March 2016,2016-03-11
Ford,521,506,524,496,0.98,0.97, March 2016,2016-03-11
Forest Bank,1064,1064,1460,1450,1.36,1.0, March 2016,2016-03-11
Foston Hall,303,303,345,338,1.12,1.0, March 2016,2016-03-11
Frankland,859,844,844,792,0.94,0.98, March 2016,2016-03-11
Full Sutton,606,606,626,579,0.96,1.0, March 2016,2016-03-11
Garth,810,810,845,837,1.03,1.0, March 2016,2016-03-11
Gartree,708,708,708,701,0.99,1.0, March 2016,2016-03-11
Glen Parva,637,519,648,524,1.01,0.81, March 2016,2016-03-11
Grendon / Springhill,586,568,568,529,0.93,0.97, March 2016,2016-03-11
Guys Marsh,518,518,579,564,1.09,1.0, March 2016,2016-03-11
Hatfield,390,338,338,324,0.96,0.87, March 2016,2016-03-11
Haverigg,622,622,654,618,0.99,1.0, March 2016,2016-03-11
Hewell,1018,1018,1279,1223,1.2,1.0, March 2016,2016-03-11
High Down,999,999,1203,1185,1.19,1.0, March 2016,2016-03-11
Highpoint (North and South),1299,1294,1320,1303,1.01,1.0, March 2016,2016-03-11
Hindley,532,492,540,515,1.05,0.92, March 2016,2016-03-11
Hollesley Bay,437,424,424,414,0.98,0.97, March 2016,2016-03-11
Holloway,540,533,591,319,0.6,0.99, March 2016,2016-03-11
Holme House,1036,1036,1230,1221,1.18,1.0, March 2016,2016-03-11
Hull,723,723,1056,1031,1.43,1.0, March 2016,2016-03-11
Humber,947,947,1062,1049,1.11,1.0, March 2016,2016-03-11
Huntercombe,370,307,430,429,1.4,0.83, March 2016,2016-03-11
Isis,478,478,628,622,1.3,1.0, March 2016,2016-03-11
Isle of Wight,1068,976,1096,1081,1.11,0.91, March 2016,2016-03-11
Kennet,175,175,342,338,1.93,1.0, March 2016,2016-03-11
Kirkham,657,657,657,592,0.9,1.0, March 2016,2016-03-11
Kirklevington Grange,283,283,283,253,0.89,1.0, March 2016,2016-03-11
Lancaster Farms,495,495,549,548,1.11,1.0, March 2016,2016-03-11
Leeds,669,669,1219,1129,1.69,1.0, March 2016,2016-03-11
Leicester,214,214,411,323,1.51,1.0, March 2016,2016-03-11
Lewes,617,617,692,643,1.04,1.0, March 2016,2016-03-11
Leyhill,515,515,515,504,0.98,1.0, March 2016,2016-03-11
Lincoln,408,403,729,585,1.45,0.99, March 2016,2016-03-11
Lindholme,924,916,1002,1000,1.09,0.99, March 2016,2016-03-11
Littlehey,1154,1153,1219,1215,1.05,1.0, March 2016,2016-03-11
Liverpool,1173,1101,1386,1144,1.04,0.94, March 2016,2016-03-11
Long Lartin,625,575,575,535,0.93,0.92, March 2016,2016-03-11
Low Newton,314,306,344,313,1.02,0.97, March 2016,2016-03-11
Lowdham Grange,900,900,920,917,1.02,1.0, March 2016,2016-03-11
Maidstone,565,565,600,598,1.06,1.0, March 2016,2016-03-11
Manchester,965,965,1286,1033,1.07,1.0, March 2016,2016-03-11
Moorland,943,943,1006,995,1.06,1.0, March 2016,2016-03-11
Mount,1008,1002,1016,1014,1.01,0.99, March 2016,2016-03-11
New Hall,392,371,425,404,1.09,0.95, March 2016,2016-03-11
North Sea Camp,420,420,420,359,0.85,1.0, March 2016,2016-03-11
Northumberland,1348,1348,1348,1334,0.99,1.0, March 2016,2016-03-11
Norwich,626,626,775,753,1.2,1.0, March 2016,2016-03-11
Nottingham,723,723,1060,1039,1.44,1.0, March 2016,2016-03-11
Oakwood,1605,1605,1605,1583,0.99,1.0, March 2016,2016-03-11
Onley,742,742,742,741,1.0,1.0, March 2016,2016-03-11
Parc,1557,1557,1723,1680,1.08,1.0, March 2016,2016-03-11
Pentonville,906,906,1316,1278,1.41,1.0, March 2016,2016-03-11
Peterborough (Male & Female),1132,1119,1300,1267,1.13,0.99, March 2016,2016-03-11
Portland,464,464,531,513,1.11,1.0, March 2016,2016-03-11
Preston,455,455,841,755,1.66,1.0, March 2016,2016-03-11
Ranby,893,832,1038,1037,1.25,0.93, March 2016,2016-03-11
Risley,1050,1050,1115,1103,1.05,1.0, March 2016,2016-03-11
Rochester,802,754,754,739,0.98,0.94, March 2016,2016-03-11
Rye Hill,600,600,625,624,1.04,1.0, March 2016,2016-03-11
Send,282,282,282,276,0.98,1.0, March 2016,2016-03-11
Stafford,741,741,751,747,1.01,1.0, March 2016,2016-03-11
Standford Hill (Sheppey),464,464,464,459,0.99,1.0, March 2016,2016-03-11
Stocken,768,648,713,704,1.09,0.84, March 2016,2016-03-11
Stoke Heath,662,662,782,756,1.14,1.0, March 2016,2016-03-11
Styal,479,470,485,473,1.01,0.98, March 2016,2016-03-11
Sudbury,581,581,581,480,0.83,1.0, March 2016,2016-03-11
Swaleside (Sheppey),1112,1112,1112,1106,0.99,1.0, March 2016,2016-03-11
Swansea,268,268,500,444,1.66,1.0, March 2016,2016-03-11
Swinfen Hall,604,604,624,601,1.0,1.0, March 2016,2016-03-11
Thameside,932,932,1232,1197,1.28,1.0, March 2016,2016-03-11
Thorn Cross,381,381,381,354,0.93,1.0, March 2016,2016-03-11
Usk / Prescoed,378,378,536,530,1.4,1.0, March 2016,2016-03-11
Wakefield,750,732,732,724,0.99,0.98, March 2016,2016-03-11
Wandsworth,963,943,1628,1568,1.66,0.98, March 2016,2016-03-11
Warren Hill,257,257,257,206,0.8,1.0, March 2016,2016-03-11
Wayland,958,909,987,980,1.08,0.95, March 2016,2016-03-11
Wealstun,810,808,828,824,1.02,1.0, March 2016,2016-03-11
Werrington,118,118,142,108,0.92,1.0, March 2016,2016-03-11
Wetherby,408,336,336,282,0.84,0.82, March 2016,2016-03-11
Whatton,775,769,841,833,1.08,0.99, March 2016,2016-03-11
Whitemoor,473,458,458,438,0.96,0.97, March 2016,2016-03-11
Winchester,469,469,690,673,1.43,1.0, March 2016,2016-03-11
Woodhill,660,568,727,688,1.21,0.86, March 2016,2016-03-11
Wormwood Scrubs,1156,1156,1279,1263,1.09,1.0, March 2016,2016-03-11
Wymott,1099,1099,1169,1152,1.05,1.0, March 2016,2016-03-11
Morton Hall (IRC),392,392,392,385,0.98,1.0, March 2016,2016-03-11
Verne (IRC),570,570,580,481,0.84,1.0, March 2016,2016-03-11
Altcourse,794,794,1033,1031,1.3,1.0, November 2015,2015-11-11
Ashfield,408,408,400,395,0.97,1.0, November 2015,2015-11-11
Askham Grange,150,126,128,100,0.79,0.84, November 2015,2015-11-11
Aylesbury,410,410,444,377,0.92,1.0, November 2015,2015-11-11
Bedford,322,322,506,455,1.41,1.0, November 2015,2015-11-11
Belmarsh,781,781,906,876,1.12,1.0, November 2015,2015-11-11
Birmingham,1093,1093,1450,1451,1.33,1.0, November 2015,2015-11-11
Brinsford,545,423,455,333,0.79,0.78, November 2015,2015-11-11
Bristol,425,407,614,605,1.49,0.96, November 2015,2015-11-11
Brixton,528,528,810,810,1.53,1.0, November 2015,2015-11-11
Bronzefield,527,527,527,518,0.98,1.0, November 2015,2015-11-11
Buckley Hall,409,409,455,453,1.11,1.0, November 2015,2015-11-11
Bullingdon,869,869,1114,1096,1.26,1.0, November 2015,2015-11-11
Bure,604,604,643,641,1.06,1.0, November 2015,2015-11-11
Cardiff,539,539,820,790,1.47,1.0, November 2015,2015-11-11
Channings Wood,698,698,724,713,1.02,1.0, November 2015,2015-11-11
Chelmsford,551,551,745,706,1.28,1.0, November 2015,2015-11-11
Coldingley,493,493,521,519,1.05,1.0, November 2015,2015-11-11
Cookham Wood,188,188,188,155,0.82,1.0, November 2015,2015-11-11
Dartmoor,642,640,640,637,1.0,1.0, November 2015,2015-11-11
Deerbolt,513,513,513,420,0.82,1.0, November 2015,2015-11-11
Doncaster,738,738,945,931,1.26,1.0, November 2015,2015-11-11
Dovegate,1064,1060,1133,1095,1.03,1.0, November 2015,2015-11-11
Drake Hall,340,340,340,317,0.93,1.0, November 2015,2015-11-11
Durham,595,595,996,911,1.53,1.0, November 2015,2015-11-11
East Sutton Park,100,100,100,91,0.91,1.0, November 2015,2015-11-11
Eastwood Park,410,315,363,342,1.09,0.77, November 2015,2015-11-11
Elmley (Sheppey),943,943,1175,1165,1.24,1.0, November 2015,2015-11-11
Erlestoke,494,494,524,522,1.06,1.0, November 2015,2015-11-11
Exeter,326,318,561,494,1.55,0.98, November 2015,2015-11-11
Featherstone,671,671,703,689,1.03,1.0, November 2015,2015-11-11
Feltham,768,560,560,511,0.91,0.73, November 2015,2015-11-11
Ford,521,506,524,515,1.02,0.97, November 2015,2015-11-11
Forest Bank,1064,1064,1460,1440,1.35,1.0, November 2015,2015-11-11
Foston Hall,303,303,345,331,1.09,1.0, November 2015,2015-11-11
Frankland,859,844,844,817,0.97,0.98, November 2015,2015-11-11
Full Sutton,604,596,616,580,0.97,0.99, November 2015,2015-11-11
Garth,810,810,845,830,1.02,1.0, November 2015,2015-11-11
Gartree,708,708,708,703,0.99,1.0, November 2015,2015-11-11
Glen Parva,637,519,648,511,0.98,0.81, November 2015,2015-11-11
Grendon / Springhill,586,568,568,537,0.95,0.97, November 2015,2015-11-11
Guys Marsh,518,518,579,561,1.08,1.0, November 2015,2015-11-11
Hatfield,390,338,338,301,0.89,0.87, November 2015,2015-11-11
Haverigg,622,622,654,636,1.02,1.0, November 2015,2015-11-11
Hewell,1018,1018,1279,1261,1.24,1.0, November 2015,2015-11-11
High Down,999,999,1163,1162,1.16,1.0, November 2015,2015-11-11
Highpoint (North and South),1299,1299,1325,1289,0.99,1.0, November 2015,2015-11-11
Hindley,532,452,500,495,1.1,0.85, November 2015,2015-11-11
Hollesley Bay,437,387,387,387,1.0,0.89, November 2015,2015-11-11
Holloway,540,533,591,534,1.0,0.99, November 2015,2015-11-11
Holme House,1036,1036,1230,1197,1.16,1.0, November 2015,2015-11-11
Hull,723,723,1056,1034,1.43,1.0, November 2015,2015-11-11
Humber,947,947,1062,1052,1.11,1.0, November 2015,2015-11-11
Huntercombe,370,307,430,429,1.4,0.83, November 2015,2015-11-11
Isis,478,478,628,624,1.31,1.0, November 2015,2015-11-11
Isle of Wight,1075,946,1059,1051,1.11,0.88, November 2015,2015-11-11
Kennet,175,175,342,324,1.85,1.0, November 2015,2015-11-11
Kirkham,657,657,657,597,0.91,1.0, November 2015,2015-11-11
Kirklevington Grange,283,283,283,281,0.99,1.0, November 2015,2015-11-11
Lancaster Farms,495,495,549,543,1.1,1.0, November 2015,2015-11-11
Leeds,669,669,1219,1152,1.72,1.0, November 2015,2015-11-11
Leicester,214,214,411,328,1.53,1.0, November 2015,2015-11-11
Lewes,617,617,692,653,1.06,1.0, November 2015,2015-11-11
Leyhill,515,515,515,504,0.98,1.0, November 2015,2015-11-11
Lincoln,408,403,729,620,1.54,0.99, November 2015,2015-11-11
Lindholme,924,916,1002,1002,1.09,0.99, November 2015,2015-11-11
Littlehey,1154,1153,1219,1217,1.06,1.0, November 2015,2015-11-11
Liverpool,1173,1101,1386,1173,1.07,0.94, November 2015,2015-11-11
Long Lartin,625,625,625,610,0.98,1.0, November 2015,2015-11-11
Low Newton,314,306,344,273,0.89,0.97, November 2015,2015-11-11
Lowdham Grange,900,900,920,916,1.02,1.0, November 2015,2015-11-11
Maidstone,565,565,600,598,1.06,1.0, November 2015,2015-11-11
Manchester,965,965,1286,968,1.0,1.0, November 2015,2015-11-11
Moorland,943,943,1006,997,1.06,1.0, November 2015,2015-11-11
Mount,1008,1008,1028,1021,1.01,1.0, November 2015,2015-11-11
New Hall,392,371,425,368,0.99,0.95, November 2015,2015-11-11
North Sea Camp,420,420,420,320,0.76,1.0, November 2015,2015-11-11
Northumberland,1348,1348,1348,1339,0.99,1.0, November 2015,2015-11-11
Norwich,626,626,775,748,1.19,1.0, November 2015,2015-11-11
Nottingham,723,723,1060,1049,1.45,1.0, November 2015,2015-11-11
Oakwood,1605,1605,1605,1593,0.99,1.0, November 2015,2015-11-11
Onley,742,742,742,736,0.99,1.0, November 2015,2015-11-11
Parc,1557,1557,1723,1677,1.08,1.0, November 2015,2015-11-11
Pentonville,906,906,1316,1303,1.44,1.0, November 2015,2015-11-11
Peterborough (Male & Female),1132,1119,1300,1285,1.15,0.99, November 2015,2015-11-11
Portland,464,464,531,515,1.11,1.0, November 2015,2015-11-11
Preston,455,455,841,723,1.59,1.0, November 2015,2015-11-11
Ranby,893,772,978,967,1.25,0.86, November 2015,2015-11-11
Risley,1050,1050,1115,1103,1.05,1.0, November 2015,2015-11-11
Rochester,802,754,754,749,0.99,0.94, November 2015,2015-11-11
Rye Hill,600,600,625,623,1.04,1.0, November 2015,2015-11-11
Send,282,282,282,279,0.99,1.0, November 2015,2015-11-11
Stafford,741,741,751,747,1.01,1.0, November 2015,2015-11-11
Standford Hill (Sheppey),464,464,464,461,0.99,1.0, November 2015,2015-11-11
Stocken,768,648,713,701,1.08,0.84, November 2015,2015-11-11
Stoke Heath,662,662,782,771,1.16,1.0, November 2015,2015-11-11
Styal,479,470,485,429,0.91,0.98, November 2015,2015-11-11
Sudbury,581,581,581,441,0.76,1.0, November 2015,2015-11-11
Swaleside (Sheppey),1112,1112,1112,1105,0.99,1.0, November 2015,2015-11-11
Swansea,271,271,504,478,1.76,1.0, November 2015,2015-11-11
Swinfen Hall,604,604,624,615,1.02,1.0, November 2015,2015-11-11
Thameside,932,932,1232,1212,1.3,1.0, November 2015,2015-11-11
Thorn Cross,381,381,381,374,0.98,1.0, November 2015,2015-11-11
Usk / Prescoed,378,378,536,501,1.33,1.0, November 2015,2015-11-11
Wakefield,750,732,732,724,0.99,0.98, November 2015,2015-11-11
Wandsworth,963,943,1628,1592,1.69,0.98, November 2015,2015-11-11
Warren Hill,257,253,253,204,0.81,0.98, November 2015,2015-11-11
Wayland,958,926,1004,1000,1.08,0.97, November 2015,2015-11-11
Wealstun,810,810,833,824,1.02,1.0, November 2015,2015-11-11
